#NUMBER	OF	AGES=	1	MAGS=	3
#----------------------------------------------------	
#MIX-LEN	Y	Z	Zeff	[Fe/H]	[a/Fe]
#	1.9380	0.2458	4.8807E-04	4.8807E-04	-1.54	0.00	
#----------------------------------------------------	
#**PHOTOMETRIC	SYSTEM**:	Gaia	DR2	Revised	(Vega)
#----------------------------------------------------	
#AGE=12.000	EEPS=267
#EEP	M/Mo	LogTeff	LogG	LogL/Lo	Gaia_G	Gaia_BP	Gaia_RP
13	0.111966	3.5386	5.3275	-2.7324	12.1334	13.2638	11.1332
14	0.123553	3.5458	5.2773	-2.6108	11.7900	12.8635	10.8120
15	0.137093	3.5532	5.2283	-2.4871	11.4422	12.4637	10.4862
16	0.151921	3.5600	5.1874	-2.3742	11.1263	12.1044	10.1896
17	0.166341	3.5658	5.1569	-2.2812	10.8672	11.8112	9.9461
18	0.179207	3.5704	5.1335	-2.2074	10.6626	11.5816	9.7537
19	0.191383	3.5740	5.1130	-2.1438	10.4873	11.3863	9.5882
20	0.204205	3.5774	5.0927	-2.0820	10.3189	11.2003	9.4286
21	0.221075	3.5812	5.0690	-2.0080	10.1191	10.9816	9.2387
22	0.238531	3.5846	5.0478	-1.9402	9.9369	10.7830	9.0650
23	0.254323	3.5875	5.0310	-1.8843	9.7869	10.6197	8.9219
24	0.274181	3.5907	5.0129	-1.8209	9.6172	10.4355	8.7602
25	0.290638	3.5930	4.9994	-1.7725	9.4880	10.2955	8.6367
26	0.303358	3.5948	4.9897	-1.7370	9.3935	10.1932	8.5465
27	0.312399	3.5960	4.9838	-1.7135	9.3309	10.1256	8.4869
28	0.318090	3.5968	4.9804	-1.6996	9.2936	10.0852	8.4512
29	0.322145	3.5973	4.9780	-1.6894	9.2665	10.0558	8.4253
30	0.325323	3.5977	4.9758	-1.6813	9.2448	10.0322	8.4047
31	0.328469	3.5982	4.9740	-1.6735	9.2238	10.0094	8.3848
32	0.331759	3.5987	4.9719	-1.6651	9.2013	9.9850	8.3635
33	0.335381	3.5991	4.9692	-1.6556	9.1760	9.9575	8.3394
34	0.339560	3.5998	4.9658	-1.6445	9.1462	9.9252	8.3110
35	0.344560	3.6004	4.9612	-1.6308	9.1099	9.8859	8.2762
36	0.351428	3.6014	4.9545	-1.6117	9.0593	9.8316	8.2279
37	0.375466	3.6059	4.9295	-1.5404	8.8677	9.6219	8.0466
38	0.400997	3.6119	4.8998	-1.4579	8.6437	9.3737	7.8369
39	0.415876	3.6158	4.8816	-1.4082	8.5085	9.2233	7.7108
40	0.426818	3.6190	4.8670	-1.3693	8.4019	9.1040	7.6120
41	0.437489	3.6226	4.8525	-1.3298	8.2933	8.9816	7.5120
42	0.447871	3.6264	4.8386	-1.2902	8.1832	8.8563	7.4116
43	0.459391	3.6312	4.8235	-1.2451	8.0569	8.7110	7.2975
44	0.470038	3.6361	4.8099	-1.2016	7.9333	8.5672	7.1871
45	0.480340	3.6415	4.7973	-1.1585	7.8096	8.4224	7.0779
46	0.489583	3.6465	4.7869	-1.1194	7.6964	8.2887	6.9789
47	0.497958	3.6514	4.7780	-1.0839	7.5927	8.1658	6.8887
48	0.506666	3.6567	4.7694	-1.0468	7.4839	8.0368	6.7948
49	0.514817	3.6618	4.7620	-1.0116	7.3801	7.9134	6.7054
50	0.522924	3.6673	4.7550	-0.9762	7.2754	7.7896	6.6152
51	0.531320	3.6731	4.7483	-0.9392	7.1663	7.6612	6.5210
52	0.536159	3.6765	4.7444	-0.9179	7.1035	7.5877	6.4667
53	0.540985	3.6798	4.7406	-0.8966	7.0413	7.5151	6.4127
54	0.545818	3.6832	4.7366	-0.8754	6.9796	7.4435	6.3591
55	0.550677	3.6865	4.7327	-0.8542	6.9184	7.3726	6.3056
56	0.555519	3.6899	4.7287	-0.8330	6.8576	7.3024	6.2524
57	0.560328	3.6933	4.7247	-0.8119	6.7973	7.2332	6.1999
58	0.565085	3.6965	4.7208	-0.7911	6.7380	7.1650	6.1479
59	0.569791	3.6999	4.7169	-0.7704	6.6797	7.0982	6.0968
60	0.574453	3.7031	4.7130	-0.7499	6.6224	7.0326	6.0465
61	0.579055	3.7064	4.7091	-0.7296	6.5661	6.9685	5.9970
62	0.583601	3.7095	4.7050	-0.7097	6.5109	6.9058	5.9484
63	0.588089	3.7125	4.7009	-0.6899	6.4570	6.8446	5.9006
64	0.592522	3.7155	4.6966	-0.6706	6.4040	6.7847	5.8538
65	0.596888	3.7184	4.6922	-0.6514	6.3522	6.7266	5.8076
66	0.601187	3.7212	4.6877	-0.6325	6.3016	6.6700	5.7625
67	0.605422	3.7240	4.6832	-0.6139	6.2519	6.6145	5.7180
68	0.609591	3.7267	4.6785	-0.5956	6.2033	6.5602	5.6744
69	0.613699	3.7292	4.6737	-0.5775	6.1555	6.5070	5.6315
70	0.617736	3.7318	4.6689	-0.5597	6.1086	6.4550	5.5895
71	0.621711	3.7342	4.6640	-0.5421	6.0625	6.4038	5.5482
72	0.625618	3.7366	4.6590	-0.5248	6.0173	6.3535	5.5077
73	0.629460	3.7390	4.6540	-0.5078	5.9729	6.3042	5.4679
74	0.633237	3.7412	4.6489	-0.4909	5.9293	6.2558	5.4288
75	0.636950	3.7434	4.6437	-0.4743	5.8865	6.2085	5.3904
76	0.640598	3.7456	4.6384	-0.4579	5.8445	6.1622	5.3525
77	0.644180	3.7477	4.6331	-0.4419	5.8032	6.1168	5.3153
78	0.647709	3.7497	4.6275	-0.4260	5.7626	6.0722	5.2786
79	0.651163	3.7517	4.6222	-0.4103	5.7227	6.0287	5.2424
80	0.654556	3.7536	4.6167	-0.3949	5.6837	5.9861	5.2067
81	0.657887	3.7554	4.6110	-0.3798	5.6452	5.9443	5.1716
82	0.662637	3.7580	4.6027	-0.3580	5.5902	5.8846	5.1213
83	0.667361	3.7605	4.5941	-0.3362	5.5353	5.8252	5.0710
