#EEP	M/Mo	LogTeff	LogG	LogL/Lo	sdss_u	sdss_g	sdss_r	sdss_i	sdss_z
13	0.111966	3.5386	5.3275	-2.7324	17.6848	14.0036	12.3306	11.5569	11.1422
14	0.123553	3.5458	5.2773	-2.6108	17.0951	13.5937	11.9600	11.2372	10.8428
15	0.137093	3.5532	5.2283	-2.4871	16.5147	13.1787	11.5880	10.9115	10.5374
16	0.151921	3.5600	5.1874	-2.3742	16.0019	12.8015	11.2528	10.6138	10.2577
17	0.166341	3.5658	5.1569	-2.2812	15.5883	12.4917	10.9798	10.3692	10.0273
18	0.179207	3.5704	5.1335	-2.2074	15.2682	12.2478	10.7659	10.1756	9.8442
19	0.191383	3.5740	5.1130	-2.1438	15.0011	12.0397	10.5837	10.0090	9.6858
20	0.204205	3.5774	5.0927	-2.0820	14.7504	11.8410	10.4094	9.8483	9.5322
21	0.221075	3.5812	5.0690	-2.0080	14.4551	11.6062	10.2041	9.6571	9.3486
22	0.238531	3.5846	5.0478	-1.9402	14.1904	11.3925	10.0165	9.4819	9.1801
23	0.254323	3.5875	5.0310	-1.8843	13.9749	11.2168	9.8621	9.3375	9.0411
24	0.274181	3.5907	5.0129	-1.8209	13.7331	11.0182	9.6880	9.1740	8.8834
25	0.290638	3.5930	4.9994	-1.7725	13.5495	10.8670	9.5555	9.0492	8.7630
26	0.303358	3.5948	4.9897	-1.7370	13.4146	10.7562	9.4586	8.9580	8.6749
27	0.312399	3.5960	4.9838	-1.7135	13.3255	10.6829	9.3946	8.8976	8.6166
28	0.318090	3.5968	4.9804	-1.6996	13.2719	10.6391	9.3563	8.8615	8.5818
29	0.322145	3.5973	4.9780	-1.6894	13.2325	10.6069	9.3284	8.8354	8.5565
30	0.325323	3.5977	4.9758	-1.6813	13.2012	10.5812	9.3062	8.8144	8.5363
31	0.328469	3.5982	4.9740	-1.6735	13.1703	10.5562	9.2847	8.7943	8.5169
32	0.331759	3.5987	4.9719	-1.6651	13.1371	10.5294	9.2617	8.7727	8.4962
33	0.335381	3.5991	4.9692	-1.6556	13.1004	10.4994	9.2356	8.7483	8.4726
34	0.339560	3.5998	4.9658	-1.6445	13.0573	10.4642	9.2051	8.7195	8.4448
35	0.344560	3.6004	4.9612	-1.6308	13.0054	10.4214	9.1678	8.6844	8.4108
36	0.351428	3.6014	4.9545	-1.6117	12.9329	10.3618	9.1160	8.6354	8.3634
37	0.375466	3.6059	4.9295	-1.5404	12.6478	10.1300	8.9184	8.4510	8.1866
38	0.400997	3.6119	4.8998	-1.4579	12.3075	9.8531	8.6860	8.2363	7.9826
39	0.415876	3.6158	4.8816	-1.4082	12.1033	9.6858	8.5457	8.1071	7.8600
40	0.426818	3.6190	4.8670	-1.3693	11.9422	9.5526	8.4348	8.0055	7.7643
41	0.437489	3.6226	4.8525	-1.3298	11.7770	9.4161	8.3218	7.9026	7.6676
42	0.447871	3.6264	4.8386	-1.2902	11.6071	9.2762	8.2072	7.7991	7.5709
43	0.459391	3.6312	4.8235	-1.2451	11.4094	9.1149	8.0761	7.6813	7.4614
44	0.470038	3.6361	4.8099	-1.2016	11.2119	8.9550	7.9479	7.5673	7.3563
45	0.480340	3.6415	4.7973	-1.1585	11.0100	8.7940	7.8199	7.4542	7.2529
46	0.489583	3.6465	4.7869	-1.1194	10.8206	8.6452	7.7027	7.3516	7.1595
47	0.497958	3.6514	4.7780	-1.0839	10.6426	8.5086	7.5960	7.2585	7.0749
48	0.506666	3.6567	4.7694	-1.0468	10.4471	8.3660	7.4851	7.1615	6.9870
49	0.514817	3.6618	4.7620	-1.0116	10.2528	8.2300	7.3801	7.0697	6.9040
50	0.522924	3.6673	4.7550	-0.9762	10.0531	8.0933	7.2744	6.9770	6.8202
51	0.531320	3.6731	4.7483	-0.9392	9.8414	7.9521	7.1648	6.8805	6.7328
52	0.536159	3.6765	4.7444	-0.9179	9.7171	7.8716	7.1026	6.8255	6.6829
53	0.540985	3.6798	4.7406	-0.8966	9.5936	7.7924	7.0410	6.7711	6.6334
54	0.545818	3.6832	4.7366	-0.8754	9.4712	7.7139	6.9800	6.7171	6.5843
55	0.550677	3.6865	4.7327	-0.8542	9.3503	7.6356	6.9189	6.6633	6.5355
56	0.555519	3.6899	4.7287	-0.8330	9.2299	7.5584	6.8584	6.6098	6.4871
57	0.560328	3.6933	4.7247	-0.8119	9.1105	7.4828	6.7989	6.5568	6.4388
58	0.565085	3.6965	4.7208	-0.7911	8.9924	7.4090	6.7404	6.5044	6.3910
59	0.569791	3.6999	4.7169	-0.7704	8.8773	7.3370	6.6831	6.4530	6.3440
60	0.574453	3.7031	4.7130	-0.7499	8.7659	7.2665	6.6267	6.4023	6.2976
