#EEP	M/Mo	LogTeff	LogG	LogL/Lo	U	B	V	R	I	J	H	Ks	Kp	D51
12	0.116064	3.5068	5.2476	-2.7641	16.8955	15.3409	13.7278	12.6211	11.1710	9.7581	9.2159	8.9750	12.5753	14.3979
13	0.135999	3.5070	5.1778	-2.6246	16.4903	14.9733	13.3746	12.2708	10.8248	9.4101	8.8695	8.6270	12.2263	14.0335
14	0.162260	3.5090	5.1130	-2.4755	16.0208	14.5497	12.9709	11.8773	10.4474	9.0420	8.5020	8.2593	11.8391	13.6178
15	0.188896	3.5134	5.0714	-2.3500	15.5718	14.1462	12.5921	11.5180	10.1206	8.7395	8.1978	7.9575	11.4925	13.2280
16	0.208358	3.5165	5.0445	-2.2680	15.2779	13.8803	12.3426	11.2816	9.9065	8.5421	7.9986	7.7603	11.2647	12.9715
17	0.224055	3.5190	5.0242	-2.2064	15.0589	13.6809	12.1555	11.1042	9.7460	8.3940	7.8491	7.6122	11.0937	12.7793
18	0.238838	3.5213	5.0066	-2.1520	14.8654	13.5040	11.9897	10.9472	9.6041	8.2639	7.7173	7.4817	10.9424	12.6091
19	0.254832	3.5236	4.9892	-2.0971	14.6735	13.3267	11.8232	10.7895	9.4611	8.1325	7.5837	7.3498	10.7900	12.4388
20	0.275572	3.5265	4.9697	-2.0320	14.4478	13.1166	11.6256	10.6024	9.2914	7.9770	7.4250	7.1931	10.6091	12.2369
21	0.292849	3.5289	4.9544	-1.9810	14.2720	12.9519	11.4708	10.4556	9.1585	7.8552	7.3005	7.0701	10.4672	12.0790
22	0.302910	3.5302	4.9445	-1.9512	14.1711	12.8572	11.3815	10.3707	9.0813	7.7843	7.2279	6.9984	10.3850	11.9880
23	0.309631	3.5310	4.9378	-1.9316	14.1056	12.7954	11.3232	10.3152	9.0306	7.7375	7.1801	6.9510	10.3312	11.9287
24	0.314568	3.5316	4.9329	-1.9175	14.0584	12.7509	11.2811	10.2750	8.9940	7.7036	7.1453	6.9167	10.2923	11.8858
25	0.318393	3.5321	4.9288	-1.9061	14.0202	12.7149	11.2473	10.2429	8.9647	7.6765	7.1176	6.8893	10.2610	11.8513
26	0.321380	3.5324	4.9257	-1.8976	13.9926	12.6888	11.2225	10.2191	8.9428	7.6562	7.0968	6.8685	10.2379	11.8262
27	0.323933	3.5328	4.9235	-1.8906	13.9689	12.6664	11.2013	10.1990	8.9246	7.6394	7.0796	6.8516	10.2185	11.8047
28	0.326527	3.5331	4.9208	-1.8831	13.9443	12.6429	11.1793	10.1781	8.9055	7.6217	7.0614	6.8337	10.1981	11.7822
29	0.329626	3.5335	4.9188	-1.8755	13.9181	12.6181	11.1558	10.1558	8.8854	7.6036	7.0427	6.8153	10.1767	11.7584
30	0.333620	3.5339	4.9162	-1.8658	13.8851	12.5866	11.1261	10.1276	8.8601	7.5804	7.0189	6.7917	10.1494	11.7283
31	0.339285	3.5347	4.9133	-1.8529	13.8411	12.5446	11.0863	10.0900	8.8265	7.5501	6.9876	6.7608	10.1133	11.6881
32	0.348394	3.5358	4.9088	-1.8323	13.7706	12.4771	11.0225	10.0298	8.7728	7.5016	6.9376	6.7116	10.0553	11.6236
33	0.428473	3.5496	4.8398	-1.6179	13.0304	11.7590	10.3430	9.3902	8.2117	7.0038	6.4181	6.1990	9.4425	10.9411
34	0.452207	3.5549	4.8158	-1.5495	12.7958	11.5260	10.1204	9.1798	8.0312	6.8482	6.2547	6.0381	9.2421	10.7203
35	0.470545	3.5593	4.7967	-1.4956	12.6129	11.3404	9.9416	9.0112	7.8890	6.7264	6.1257	5.9114	9.0823	10.5444
36	0.485994	3.5634	4.7804	-1.4491	12.4539	11.1774	9.7838	8.8634	7.7681	6.6221	6.0148	5.8034	8.9433	10.3894
37	0.499746	3.5672	4.7663	-1.4072	12.3099	11.0281	9.6387	8.7277	7.6594	6.5291	5.9155	5.7070	8.8164	10.2476
38	0.511173	3.5707	4.7545	-1.3716	12.1868	10.8995	9.5133	8.6108	7.5671	6.4507	5.8317	5.6263	8.7073	10.1257
39	0.521605	3.5742	4.7439	-1.3386	12.0721	10.7787	9.3955	8.5006	7.4807	6.3782	5.7539	5.5519	8.6046	10.0115
40	0.532624	3.5779	4.7330	-1.3033	11.9505	10.6490	9.2686	8.3819	7.3888	6.3014	5.6711	5.4735	8.4943	9.8894
41	0.545823	3.5827	4.7202	-1.2611	11.8047	10.4919	9.1141	8.2377	7.2786	6.2101	5.5725	5.3807	8.3604	9.7416
42	0.560921	3.5884	4.7060	-1.2122	11.6329	10.3060	8.9306	8.0660	7.1509	6.1057	5.4595	5.2753	8.2020	9.5666
43	0.576767	3.5948	4.6916	-1.1599	11.4521	10.1059	8.7359	7.8847	7.0150	5.9940	5.3389	5.1644	8.0337	9.3829
44	0.592291	3.6015	4.6782	-1.1085	11.2780	9.9075	8.5484	7.7114	6.8811	5.8820	5.2193	5.0561	7.8703	9.2073
45	0.606999	3.6081	4.6662	-1.0594	11.1019	9.7116	8.3633	7.5406	6.7537	5.7773	5.1089	4.9565	7.7100	9.0318
46	0.621406	3.6150	4.6553	-1.0107	10.9203	9.5126	8.1766	7.3694	6.6279	5.6746	5.0030	4.8612	7.5490	8.8529
47	0.636017	3.6222	4.6450	-0.9613	10.7353	9.3094	7.9905	7.2000	6.5002	5.5690	4.8966	4.7655	7.3878	8.6731
48	0.650420	3.6297	4.6356	-0.9125	10.5310	9.0997	7.8036	7.0326	6.3736	5.4663	4.7975	4.6767	7.2267	8.4849
49	0.663980	3.6370	4.6274	-0.8662	10.3117	8.8929	7.6238	6.8739	6.2526	5.3706	4.7102	4.5988	7.0725	8.2938
50	0.676710	3.6439	4.6201	-0.8227	10.0826	8.6958	7.4548	6.7267	6.1379	5.2815	4.6338	4.5301	6.9275	8.1044
51	0.688689	3.6506	4.6135	-0.7818	9.8525	8.5089	7.2975	6.5915	6.0294	5.1980	4.5663	4.4690	6.7926	7.9208
52	0.694847	3.6540	4.6100	-0.7609	9.7298	8.4130	7.2179	6.5237	5.9735	5.1553	4.5328	4.4385	6.7242	7.8252
53	0.700958	3.6574	4.6067	-0.7401	9.6044	8.3176	7.1391	6.4572	5.9182	5.1130	4.4999	4.4089	6.6567	7.7285
54	0.707046	3.6608	4.6034	-0.7193	9.4771	8.2226	7.0610	6.3917	5.8633	5.0710	4.4675	4.3797	6.5900	7.6314
55	0.713117	3.6643	4.6001	-0.6986	9.3489	8.1282	6.9836	6.3271	5.8085	5.0292	4.4356	4.3509	6.5238	7.5343
56	0.719170	3.6676	4.5967	-0.6780	9.2223	8.0350	6.9074	6.2636	5.7540	4.9877	4.4044	4.3225	6.4584	7.4385
57	0.725200	3.6710	4.5931	-0.6575	9.0970	7.9433	6.8325	6.2012	5.7002	4.9465	4.3738	4.2943	6.3941	7.3442
58	0.731201	3.6743	4.5895	-0.6372	8.9735	7.8534	6.7591	6.1400	5.6469	4.9057	4.3436	4.2663	6.3308	7.2514
59	0.737155	3.6775	4.5857	-0.6171	8.8523	7.7660	6.6872	6.0800	5.5944	4.8653	4.3134	4.2384	6.2688	7.1604
60	0.743076	3.6807	4.5818	-0.5972	8.7333	7.6803	6.6167	6.0211	5.5428	4.8253	4.2836	4.2106	6.2078	7.0713
61	0.748948	3.6837	4.5778	-0.5773	8.6164	7.5965	6.5475	5.9632	5.4917	4.7857	4.2538	4.1828	6.1479	6.9839
62	0.754744	3.6867	4.5738	-0.5578	8.5011	7.5144	6.4797	5.9065	5.4417	4.7468	4.2244	4.1552	6.0891	6.8987
63	0.760465	3.6897	4.5696	-0.5385	8.3893	7.4346	6.4137	5.8510	5.3926	4.7084	4.1952	4.1276	6.0316	6.8161
64	0.766110	3.6926	4.5653	-0.5195	8.2814	7.3570	6.3493	5.7968	5.3444	4.6705	4.1664	4.1004	5.9754	6.7361
65	0.771675	3.6953	4.5610	-0.5008	8.1804	7.2822	6.2870	5.7441	5.2972	4.6331	4.1377	4.0731	5.9206	6.6591
66	0.777172	3.6980	4.5566	-0.4825	8.0831	7.2098	6.2265	5.6927	5.2510	4.5962	4.1094	4.0461	5.8673	6.5849
67	0.782586	3.7006	4.5521	-0.4646	7.9885	7.1397	6.1679	5.6427	5.2060	4.5602	4.0814	4.0194	5.8155	6.5135
68	0.787923	3.7031	4.5475	-0.4471	7.8944	7.0715	6.1110	5.5940	5.1622	4.5252	4.0539	3.9932	5.7651	6.4447
69	0.793183	3.7057	4.5429	-0.4299	7.8017	7.0054	6.0560	5.5466	5.1197	4.4911	4.0269	3.9675	5.7160	6.3788
70	0.798397	3.7080	4.5383	-0.4131	7.7110	6.9410	6.0023	5.5005	5.0780	4.4577	4.0002	3.9421	5.6682	6.3150
